"date","new_listings","existing_listings","inactive_listings","price_changes","platform"
20566,21,23563,0,5,"imovirtual"
20567,162,23422,0,34,"imovirtual"
20568,246,23415,0,87,"imovirtual"
20570,98,23578,0,33,"imovirtual"
20571,276,23407,0,147,"imovirtual"
20572,220,23383,0,55,"imovirtual"
20573,78,23655,0,6,"imovirtual"
20574,219,23540,0,51,"imovirtual"
20576,42,23779,0,14,"imovirtual"
20577,43,23725,0,17,"imovirtual"
20578,226,23619,0,140,"imovirtual"
20580,119,23817,0,73,"imovirtual"
20581,173,23709,0,58,"imovirtual"
20582,299,23659,0,80,"imovirtual"
20583,89,23904,0,23,"imovirtual"
20585,213,23591,0,135,"imovirtual"
20586,188,23658,0,101,"imovirtual"
20588,303,23429,0,135,"imovirtual"
20589,196,23551,0,73,"imovirtual"
20590,78,23678,0,11,"imovirtual"
20591,65,23591,0,39,"imovirtual"
20592,323,23347,0,120,"imovirtual"
20592,157,0,0,0,"casa_sapo"
20593,218,23424,0,83,"imovirtual"
20593,12,140,17,22,"casa_sapo"
20594,293,23388,0,121,"imovirtual"
20594,6,145,24,21,"casa_sapo"
20595,181,23484,0,74,"imovirtual"
20595,14,144,31,21,"casa_sapo"
20596,1,157,32,25,"casa_sapo"
20597,157,23722,0,48,"imovirtual"
20597,0,155,35,25,"casa_sapo"
20598,56,23771,0,35,"imovirtual"
20598,10,151,39,24,"casa_sapo"
20600,162,23600,0,67,"imovirtual"
20601,214,23526,0,84,"imovirtual"
20602,101,116,84,18,"casa_sapo"
20603,6562,23395,0,114,"imovirtual"
20604,2110,27942,0,18,"imovirtual"
20605,147,29847,0,56,"imovirtual"
20605,8,211,92,34,"casa_sapo"
20606,212,29749,0,102,"imovirtual"
20606,108,205,106,31,"casa_sapo"
20609,3910,32383,2585,106,"imovirtual"
20611,1368,35197,244,72,"imovirtual"
20620,2013,36683,402,136,"imovirtual"
20621,2071,37029,270,108,"imovirtual"
20622,2145,37003,309,87,"imovirtual"
20623,2314,36960,380,121,"imovirtual"
20624,2296,37151,256,175,"imovirtual"
20625,2123,37396,92,40,"imovirtual"
20626,2181,37300,222,79,"imovirtual"
20627,2356,37118,296,82,"imovirtual"
20628,2350,37185,261,87,"imovirtual"
20629,2360,37132,302,139,"imovirtual"
20630,2498,36966,465,257,"imovirtual"
20631,2456,37085,234,84,"imovirtual"
20632,2349,37029,292,19,"imovirtual"
20633,2347,36956,226,72,"imovirtual"
20634,2516,36650,437,124,"imovirtual"
20635,2565,36585,359,168,"imovirtual"
20636,2630,36525,333,122,"imovirtual"
20637,2699,36597,270,100,"imovirtual"
20638,2728,36712,190,76,"imovirtual"
20639,2581,36892,79,27,"imovirtual"
20640,2592,36757,243,87,"imovirtual"
20642,2835,36082,796,118,"imovirtual"
20643,2891,36032,343,109,"imovirtual"
20644,2878,36062,306,131,"imovirtual"
20645,2930,36048,207,74,"imovirtual"
20647,2891,36127,204,91,"imovirtual"
20648,2937,35973,325,111,"imovirtual"
20649,3665,35869,363,144,"imovirtual"
20650,3141,36471,281,166,"imovirtual"
20651,3190,36471,344,98,"imovirtual"
20652,3169,36577,244,89,"imovirtual"
20653,3043,36761,88,30,"imovirtual"
20654,2989,36747,175,72,"imovirtual"
20655,3165,36528,309,99,"imovirtual"
20656,3315,36488,300,83,"imovirtual"
20657,3227,36597,307,109,"imovirtual"
20658,3223,36605,275,99,"imovirtual"
20659,3281,36637,209,105,"imovirtual"
20661,3325,36612,263,63,"imovirtual"
20662,3390,36319,523,95,"imovirtual"
20663,3518,36243,339,94,"imovirtual"
20664,3608,36266,372,102,"imovirtual"
20665,3510,36343,360,121,"imovirtual"
20667,3353,36596,71,19,"imovirtual"
20668,3288,36435,253,48,"imovirtual"
20669,3558,36169,388,126,"imovirtual"
20670,3570,36197,374,104,"imovirtual"
20671,3780,36184,389,115,"imovirtual"
20672,3901,35984,443,79,"imovirtual"
20673,4022,35955,397,70,"imovirtual"
20674,3781,36213,142,18,"imovirtual"
20675,3731,36255,113,20,"imovirtual"
20676,4414,35895,427,107,"imovirtual"
20677,4140,36279,417,80,"imovirtual"
20678,4076,36501,306,52,"imovirtual"
20679,4038,36519,332,82,"imovirtual"
20680,4007,36582,253,79,"imovirtual"
20681,3858,36751,81,18,"imovirtual"
20682,3802,36707,111,17,"imovirtual"
20683,3895,36471,291,98,"imovirtual"
20685,4342,36131,580,219,"imovirtual"
